Id	Type	BuyPrice	SellPrice
204	4	670	269
205	5	632	719
206	2		143
207	3	925	279
208	2	872	161
209	1	587	383
210	4	512	294
211	1	-676	
212	2	999	236
213	4	877	140
214	2		376
215	1	550	459
216	1	548	614
217	5	943	185
218	4	638	120
219	3	828	223
220	2	857	461
221	4	524	296
222	5	710	448
223	5	767	114
224	1	754	142
225	1	817	431
226	3	942	284
227	1	824	
228	3	931	-367
229	5	925	392
230	2	601	328
231	5		336
232	4		482
233	3	708	311
234	5	506	142
235	2	-885	330
236	5	695	367
237	1	707	138
238	4	845	455
239	1	564	197
240	5	724	453
241	5	889	
242	3	806	-491
243	5		
244	4	673	386
245	3	691	-199
246	4	-520	-430
247	4	508	-467
248	2	971	208
249	4	728	350
250	4	-834	-213
251	5	684	194
252	4	926	202
253	3	800	367
254	4	687	172
255	2	937	293
256	1	967	156
257	3	800	127
258	3	-600	-266
259	3	-554	250
260	2	581	226
261	3	987	354
262	2	809	273
263	5	837	127
264	2	654	-310
265	5	-653	106
266	1	818	409
267	4	779	297
268	2	727	344
269	3	839	
270	1	944	1039
271	4	629	406
272	4	895	452
273	2	564	353
274	5	615	300
275	2		419
276	4	673	252
277	5	899	287
278	1	-809	-782
279	5	850	
280	1	591	-333
281	4	-528	171
282	1	896	963
283	4	956	383
284	2	589	248
285	4		121
286	2	715	454
287	3	710	481
288	4	521	130
289	1	606	636
290	4	553	339
291	2	-817	323
292	4	549	-212
293	4	-992	
294	1	748	101
295	5	560	154
296	3	-878	491
297	4	642	214
298	3	-692	312
299	4	-788	225
300	2	731	348
301	5	772	173
302	5	679	105
303	2	951	1020
304	4	768	137
305	3	868	915
306	4	636	422
307	2	537	361
308	2	-657	218
309	1	968	
310	3	924	480
311	3	769	245
312	1	863	412
313	4	-675	
314	2	937	419
315	3	636	482
316	2	776	149
317	4	933	143
318	3	537	163
319	4		228
320	2	849	243
321	5	-657	375
322	3	948	301
323	2	822	109
324	4	880	-103
325	2	774	
326	5	863	169
327	2	638	468
328	3	669	454
329	2	694	259
330	2	648	743
331	1	803	856
332	3	986	
333	2	545	209
334	2	700	
335	3	-877	109
336	3	730	458
337	5	851	253
338	3	-845	101
339	1	596	414
340	2	952	411
341	1		282
342	2	542	235
343	4	969	449
344	1		264
345	4	-909	203
346	3	946	232
347	3	994	
348	1	726	373
349	2	611	361
350	2	601	218
351	2	989	101
352	2		435
353	3	541	295
354	4	995	373
355	4	842	
356	5	944	232
357	5	531	549
358	2		434
359	4	575	456
360	2	830	293
361	5	-843	327
362	4	732	-402
363	5	801	
364	5	681	286
365	4	581	102
366	3	989	-364
367	5	980	432
368	3	874	174
369	1		365
370	3	844	156
371	2		347
372	5	678	
373	5	726	107
374	1	597	-395
375	3	534	499
376	2	891	-497
377	1	973	336
378	1	552	198
379	3	766	271
380	1	-738	191
381	5	765	337
382	4	564	-374
383	3	737	
384	1		260
385	1	945	193
386	1	907	-441
387	1	650	444
388	5	925	
389	2	-500	350
390	5	951	
391	2	-932	416
392	2	786	370
393	2	545	234
394	2	652	236
395	2	607	623
396	4	-940	289
397	2	590	
398	4	-531	
399	1	706	-234
400	3	840	277
401	2	789	316
402	5		-446
403	3	-731	279
404	2	593	287
405	3	924	
406	2	651	
407	1	776	439
408	1	933	492
409	5	737	269
410	5	980	371
411	5	803	442
412	5	859	310
413	1	738	393
414	1	701	216
415	1	509	-185
416	3	516	290
417	3	651	254
418	2	675	320
419	2	556	206
420	1	629	449
421	2	927	342
422	4	768	384
423	3	-861	206
424	3	-995	253
425	5	822	238
426	5	886	
427	5	961	423
428	3	552	
429	3	537	418
430	4	558	-486
431	5		254
432	3	998	195
433	3		496
434	1	601	442
435	4	844	134
436	1	-975	306
437	1	713	328
438	2	830	470
439	5	872	922
440	4	606	176
441	5	783	429
442	4	923	282
443	4		385
444	4		333
445	2	949	-461
446	4	699	142
447	4	972	274
448	4	686	-212
449	1	-806	414
450	1	850	-447
451	3	883	164
452	4	-907	278
453	5	613	442
454	3	709	440
455	2	638	
456	1	912	424
457	3	698	-106
458	2	615	
459	3	-662	
460	4	681	266
461	2	-542	177
462	2	626	167
463	2	501	451
464	4	771	
465	1	681	
466	4	564	640
467	4		
468	3	984	236
469	5	850	252
470	4	727	-150
471	1		410
472	1	870	932
473	3	831	493
474	4	819	222
475	1	972	-132
476	2	609	659
477	3	981	-156
478	4	666	-182
479	4	717	326
480	2	538	
481	1	714	247
482	3	889	332
483	5	626	401
484	5	857	
485	1	806	462
486	3	958	139
487	4	-604	188
488	2	565	110
489	3	631	379
490	4	942	409
491	3	-701	383
492	1	658	400
493	4	951	458
494	5	534	146
495	2		261
496	2	936	489
497	2	704	157
498	5	555	
499	3	528	576
500	1	874	352
501	4		157
502	1	949	294
503	3	546	646
504	5	989	452
505	5		113
506	4	588	143
507	4	615	288
508	4	917	205
509	5	-599	161
510	3	502	249
511	3	740	382
512	2	508	343
513	2	995	465
514	4	950	447
515	1	572	296
516	5	805	
517	4	-583	281
518	1	536	198
519	5	665	136
520	1	726	794
521	5	703	371
522	4	911	216
523	5	-876	165
524	3	995	229
525	3	868	308
526	3		274
527	2	537	-200
528	5	867	463
529	4	628	124
530	5	539	635
531	4		227
532	1	848	900
533	2	917	437
534	5	616	386
535	3	-743	
536	2	594	
537	5	611	174
538	3	585	127
539	3	-799	
540	2	555	499
541	4	500	352
542	5		249
543	5	740	225
544	1		351
545	3	751	260
546	5	538	249
547	1		465
548	2	670	339
549	1	704	154
550	3	708	
551	4	761	839
552	4	567	296
553	1	867	-306
554	5	782	168
555	3	636	145
556	5	855	140
557	1	755	-352
558	3	570	200
559	4	639	316
560	3	616	442
561	5		
562	3	915	105
563	1	603	397
564	3		215
565	5		314
566	1	560	293
567	5	879	152
568	2	534	250
569	4	795	167
570	3	791	326
571	4	861	198
572	1	601	181
573	3	981	172
574	4	686	
575	4	-711	360
576	3	991	415
577	1		172
578	5	-952	-875
579	2	753	391
580	3	936	144
581	1	1000	287
582	4	706	
583	3	774	281
584	5	597	366
585	1	535	152
586	5	692	245
587	4	979	-275
588	3	766	447
589	4	526	-282
590	5	627	238
591	3	974	1068
592	1	550	640
593	3	503	483
594	2	648	140
595	1		400
596	2	978	332
597	3	908	
598	3	942	
599	4	-694	253
600	5	513	
601	3	-864	235
602	1	921	154
603	5	557	124
604	3	-696	358
605	3	-694	226
606	3	870	921
607	3	939	184
608	3	828	-221
609	5	865	434
610	2	713	-199
611	5	759	111
612	1	561	221
613	4	817	-335
614	4		129
615	3	696	450
616	5	798	420
617	2	913	
618	4	693	234
619	3	603	-256
620	2	984	
621	4	-991	-965
622	5		337
623	2	969	
624	4	589	437
625	1	828	168
626	5	807	226
627	3	922	365
628	1	607	-319
629	4	777	
630	2	636	265
631	5	591	207
632	4	861	
633	5	808	345
634	2	924	-255
635	5	518	259
636	5		-197
637	3	-588	-194
638	1	-786	
639	1	709	332
640	2	686	429
641	3		214
642	4	608	462
643	5	763	211
644	2	818	
645	2	549	449
646	5		-492
647	4	816	455
648	2	915	410
649	1	975	-151
650	4	623	305
651	4	798	230
652	2	-799	-270
653	2	648	153
654	1	-952	-144
655	3	-502	210
656	5	800	214
657	4	681	277
658	2		486
659	2		110
660	3	899	932
661	5	936	352
662	1	922	446
663	2	711	416
664	2	932	
665	4	811	305
666	2	599	161
667	5	772	
668	2	795	249
669	5	872	499
670	2	634	
671	1	814	452
672	2	595	154
673	5	678	290
674	2	-591	399
675	2	591	281
676	2	626	
677	5	880	197
678	5	872	294
679	4	668	344
680	5	783	149
681	3	670	348
682	5	622	240
683	4	651	393
684	5	987	
685	1	800	178
686	2	700	
687	4	986	308
688	2		361
689	2	651	719
690	3	908	351
691	4	630	398
692	5	648	151
693	4		427
694	1	865	325
695	4	893	131
696	5		-417
697	2	892	250
698	2		163
699	1	977	-300
700	1	650	
701	3		213
702	2	652	
703	3	-517	219
704	3		389
705	2	605	302
706	2	958	
707	4	966	374
708	1	833	269
709	2	688	
710	1		463
711	4	574	673
712	3	948	137
713	1	685	102
714	4	520	201
715	3	949	470
716	3	684	-236
717	2	731	-308
718	5	878	360
719	5		-256
720	2	922	387
721	1	861	135
722	1		481
723	1	975	-124
724	3	943	961
725	3	963	365
726	5	635	486
727	2	967	1010
728	1	560	495
729	2	861	276
730	2	824	272
731	4	663	
732	4	977	109
733	3	955	390
734	4	780	184
735	2	790	155
736	1		304
737	2	981	316
738	3	892	277
739	4	520	374
740	5	701	259
741	1	557	309
742	2	727	253
743	3	645	306
744	4	866	169
745	4	761	393
746	5	816	
747	3	830	486
748	3	606	
749	2	728	334
750	3	954	342
751	1		243
752	2	789	-190
753	3	826	468
754	2	583	297
755	3	819	160
756	5	821	483
757	4		169
758	5		442
759	3	642	162
760	1	614	164
761	2	501	376
762	5	975	381
763	2	653	731
764	2	614	692
765	2		456
766	4	885	199
767	2	611	265
768	4	803	
769	5	585	384
770	2	863	122
771	2	851	-473
772	2		-124
773	1		429
774	1	759	823
775	3	798	157
776	1	937	498
777	5	684	417
778	5	865	148
779	3	738	270
780	3	910	128
781	1	-843	368
782	4	701	788
783	4	716	113
784	4		278
785	2	806	262
786	1	842	216
787	3	979	312
788	1		349
789	1	904	359
790	5	538	562
791	1	566	279
792	2		473
793	4	811	353
794	3	-859	182
795	4		407
796	1	625	141
797	3	509	559
798	1	763	
799	4	703	261
800	3	929	979
801	5	-729	-699
802	3	792	212
803	2	556	317
804	3		-428
805	5	936	100
806	3	-567	347
807	4	725	230
808	4	765	
809	1		453
810	1	553	223
811	3	991	382
812	2	916	227
813	1	612	131
814	5	626	
815	3	-708	255
816	4	514	
817	5	-964	482
818	3	691	
819	3	-940	134
820	2	569	
821	1	811	118
822	4	806	164
823	3	658	162
824	4	512	304
825	5	819	408
826	2		366
827	2	510	599
828	5	953	226
829	3	811	
830	4	-600	264
831	2	571	630
832	5	785	142
833	4	521	-190
834	4	925	303
835	2	572	354
836	2	-786	127
837	1	823	259
838	5	529	-180
839	2	811	844
840	2	-575	194
841	2	908	187
842	5	957	463
843	2	886	472
844	3	814	465
845	1	941	-352
846	4	649	447
847	1	-881	362
848	5	-525	462
849	2	669	490
850	3	540	468
851	1	-757	411
852	4	797	413
853	1	765	356
854	2		236
855	4	715	
856	2	893	321
857	1	708	-437
858	1	837	338
859	5	743	-422
860	2	902	222
861	5	577	-414
862	3	-941	-412
863	4	816	355
864	5	696	291
865	1		287
866	5	558	380
867	3	893	222
868	4	703	395
869	1	-800	138
870	2	639	331
871	5	742	126
872	4	986	
873	4	753	148
874	5	994	243
875	1	569	220
876	4	645	113
877	4	594	468
878	1	845	883
879	5	515	286
880	1	547	210
881	2		324
882	2	508	156
883	2	941	197
884	3	597	462
885	1	812	437
886	5	979	-420
887	1	811	137
888	5	669	188
889	4	584	263
890	2	764	316
891	2	775	345
892	3	859	285
893	4	507	256
894	4	524	250
895	4	-951	-921
896	5	850	331
897	2	547	582
898	1	769	284
899	5	810	261
900	1	533	
901	2	751	-106
902	1	686	367
903	3	-524	323
904	3	722	136
905	1	817	136
906	2	685	204
907	2	884	482
908	3	914	-435
909	5	528	-180
910	4	-661	-651
911	2	657	114
912	1	702	109
913	2	-542	371
914	3	901	101
915	4	845	867
916	5	890	272
917	3	-727	344
918	3	698	174
919	3	842	414
920	5		-124
921	4	724	135
922	1	642	480
923	3	807	421
924	5	519	274
925	2	996	139
926	4	876	180
927	1	857	242
928	2	993	328
929	2	969	-111
930	1	-895	149
931	5	629	214
932	5	-773	461
933	4	-936	147
934	2	581	668
935	5	-940	228
936	3	881	434
937	5		-403
938	4		351
939	1	511	557
940	4	987	-391
941	5	704	117
942	4	749	485
943	3	822	462
944	4	563	368
945	1	973	240
946	2	674	388
947	5	-626	326
948	4	615	232
949	2	529	-389
950	5	639	350
951	4	-871	426
952	1	527	485
953	1	539	108
954	1	761	392
955	3	580	355
956	5	784	448
957	1	701	492
958	5	848	421
959	5	949	209
960	5	669	106
961	1	905	495
962	2	884	102
963	3	520	320
964	3	534	415
965	4	942	494
966	2	572	387
967	2	940	238
968	5	618	436
969	4	-794	300
970	1		278
971	1	762	171
972	1	-941	-923
973	5	791	251
974	1	836	362
975	4	958	341
976	3	708	
977	4	-707	
978	1	-713	129
979	2	606	-124
980	1	924	467
981	5	-850	159
982	4		489
983	2	632	
984	2	907	290
985	3	522	313
986	1	654	174
987	3	995	135
988	4	537	358
989	4	535	482
990	2	733	
991	4	516	613
992	3	961	488
993	3	907	142
994	3	718	317
995	4	797	875
996	5	753	233
997	1	860	137
998	1	-792	481
999	5	-710	
1000	2	822	456
1001	3	-573	467
1002	2	987	179
1003	4		217
1004	2	842	446
1005	4	620	129
1006	2	692	354
1007	1	869	
1008	4	592	400
1009	1	675	758
1010	5	-803	-131
1011	5	839	-343
1012	3	921	486
1013	3	793	491
1014	3	957	471
1015	2	764	255
1016	4	728	745
1017	2	629	135
1018	1	587	666
1019	3	639	334
1020	3	951	182
1021	1	851	
1022	1	-768	-138
1023	3	594	220
1024	1	913	157
1025	5		123
1026	3	653	730
1027	4	746	177
1028	3	723	180
1029	2	776	239
1030	5	938	344
1031	2	-586	-153
1032	5	611	
1033	5		157
1034	2	727	
1035	4	723	408
1036	4	771	868
1037	1	807	199
1038	3	511	279
1039	3	523	458
1040	3	512	-253
1041	2	886	
1042	3	696	410
1043	1		169
1044	4	-741	274
1045	5		432
1046	1		102
1047	3		226
1048	2	594	
1049	5	997	280
1050	4	832	317
1051	2	875	216
1052	5	794	140
1053	2	700	364
1054	4	977	-167
1055	1	-764	481
1056	3	965	445
1057	3	642	372
1058	4	726	145
1059	1	994	406
1060	3	586	103
1061	1	772	497
1062	4	881	198
1063	4	943	357
1064	2	509	
1065	5	562	398
1066	4	891	249
1067	4	840	465
1068	3	529	203
1069	2		208
1070	3	711	369
1071	2	811	258
1072	3	525	
1073	3	864	403
1074	1	728	202
1075	5	-509	356
1076	5	662	185
1077	4	511	100
1078	1		
1079	4	803	-197
1080	5	651	324
1081	4		-234
1082	2	970	350
1083	3	514	
1084	2	-583	254
1085	1	988	354
1086	3	751	807
1087	3	-881	
1088	4	968	392
1089	1	523	
1090	2	-639	241
1091	3	533	
1092	4	709	438
1093	5	586	607
1094	5	669	425
1095	4	892	252
1096	5	919	440
1097	1	716	-492
1098	3	-560	
1099	4	-859	431
1100	2	687	366
1101	1	670	193
1102	4	634	241
1103	4		407
1104	3	643	467
1105	3		116
1106	5	732	204
1107	4	704	-212
1108	5	899	168
1109	3	941	420
1110	5	989	439
1111	3	733	171
1112	4		354
1113	1	635	234
1114	3	735	290
1115	2	-896	174
1116	4	698	496
1117	5	503	164
1118	2	967	382
1119	1	871	-199
1120	1	771	247
1121	5	892	961
1122	4	853	427
1123	4	644	217
1124	3	997	344
1125	5	638	199
1126	5	592	202
1127	1	-743	147
1128	3	530	-331
1129	1	779	444
1130	1	894	140
1131	4	576	668
1132	2	664	163
1133	3	723	114
1134	4	859	893
1135	3	696	771
1136	1	864	460
1137	1	701	197
1138	4	595	161
1139	2	-610	324
1140	1	678	267
1141	4	-619	412
1142	2	833	
1143	1	662	
1144	1	731	
1145	1	893	119
1146	2	841	290
1147	1	986	353
1148	4		442
1149	1	926	945
1150	3	871	459
1151	1	778	256
1152	1	599	385
1153	1		-188
1154	4	861	313
1155	2	766	323
1156	5	612	
1157	4	918	
1158	5	745	331
1159	1	-842	229
1160	4		440
1161	4	970	1060
1162	1	-579	-367
1163	2		104
1164	4		462
1165	2		
1166	5	994	139
1167	4	613	-139
1168	1	562	490
1169	3	-966	491
1170	1	521	-489
1171	2		395
1172	1	532	426
1173	3	580	262
1174	4	620	395
1175	5	948	328
1176	5	919	974
1177	5	696	-500
1178	4	591	479
1179	1	-786	116
1180	4	-964	-943
1181	1	-642	458
1182	3	662	156
1183	5	978	407
1184	5	657	-198
1185	1	854	
1186	5	-833	314
1187	1	682	-108
1188	5	637	
1189	3		213
1190	1	966	270
1191	3	993	1010
1192	3	813	483
1193	1	768	468
1194	1	970	304
1195	5	933	204
1196	1	901	179
1197	4	-992	-978
1198	1	928	270
1199	3		156
1200	2	582	249
1201	4	778	399
1202	1	997	
1203	1	-546	-534
1204	3	724	-109
1205	3	561	440
1206	4	651	686
1207	3	1000	331
1208	1	887	
1209	2	590	-347
1210	5	632	336
1211	3	886	195
1212	3	511	
1213	3	630	-160
1214	3	709	119
1215	1	-805	117
1216	2	-747	
1217	4	969	290
1218	2	739	263
1219	2	947	494
1220	3	-940	166
1221	2	-844	147
1222	1		297
1223	3	627	345
1224	2	827	239
1225	3	749	265
1226	5	973	
1227	5	557	422
1228	3	753	415
1229	1	975	222
1230	3	846	217
1231	4	668	348
1232	2	955	339
1233	1	717	
1234	1	567	-241
1235	4	994	223
1236	4	-896	218
1237	5	748	280
1238	1	600	151
1239	1	-631	268
1240	5	675	741
1241	2	747	476
1242	1		397
1243	3		310
1244	5	-856	144
1245	1	623	491
1246	4	929	302
1247	2	933	476
1248	2	746	361
1249	3	761	332
1250	4	780	328
1251	5	660	115
1252	3	825	
1253	1	576	353
1254	1	974	463
1255	3	-872	143
1256	3	520	168
1257	1	965	431
1258	4	969	
1259	5	863	180
1260	1	-545	313
1261	4	657	193
1262	5	-926	-862
1263	3	885	-341
1264	1		342
1265	5	656	401
1266	3		487
1267	4	599	295
1268	2	700	173
1269	5	640	-169
1270	1	750	344
1271	2	-632	166
1272	1		322
1273	5	521	319
1274	3	521	321
1275	2	674	430
1276	4		195
1277	3	733	122
1278	2	524	345
1279	3	608	268
1280	5	837	445
1281	4	957	-348
1282	1		-299
1283	4	765	163
1284	1		104
1285	2	902	-471
1286	3	985	399
1287	1	-729	126
1288	3	-782	-735
1289	2	501	381
1290	1	841	
1291	3	790	420
1292	5	761	381
1293	1	989	-399
1294	5		333
1295	5		-490
1296	4	748	496
1297	3	550	
1298	5	640	497
1299	4	831	-274
1300	4	935	
1301	1	670	-182
1302	4	523	273
1303	4	956	157
1304	1	638	
1305	2	808	281
1306	3		275
1307	2	980	190
1308	3	979	268
1309	5	931	325
1310	3	-856	-787
1311	3	939	429
1312	1	643	
1313	4	866	187
1314	5	656	146
1315	2	608	177
1316	2		
1317	5		462
1318	2	578	427
1319	2	950	976
1320	3	-647	372
1321	4	937	368
1322	2	883	310
1323	3	930	160
1324	1	794	-337
1325	4	665	418
1326	3	712	773
1327	5	500	
1328	4	801	402
1329	4	869	175
1330	1	860	328
1331	2	731	348
1332	2	958	241
1333	1	746	
1334	4	-654	482
1335	3	-524	316
1336	4	854	-415
1337	1	813	101
1338	5	572	315
1339	4	547	409
1340	5	610	
1341	4	880	478
1342	5	846	431
1343	5	549	387
1344	5	637	
1345	5		410
1346	4		161
1347	3		169
1348	4	549	583
1349	1	692	163
1350	5	657	362
1351	1	-581	300
1352	2	806	203
1353	5	924	167
1354	4	799	167
1355	1	635	-193
1356	5	928	400
1357	1	-912	-888
1358	5	998	310
1359	2	993	103
1360	2	863	416
1361	1	587	155
1362	4	836	355
1363	3	756	
1364	1	-637	291
1365	2		254
1366	1	-772	149
1367	2	627	
1368	4	988	453
1369	5	722	106
1370	1	656	131
1371	2	578	133
1372	1	922	320
1373	3	637	654
1374	3		159
1375	4	819	
1376	2	991	282
1377	4	576	299
1378	5	969	482
1379	2	957	360
1380	4	699	370
1381	5	763	322
1382	1		456
1383	2	864	
1384	1	705	149
1385	5	901	253
1386	4	632	285
1387	2	685	391
1388	1	739	425
1389	5	-823	332
1390	2	889	172
1391	1	875	353
1392	3	514	336
1393	1		103
1394	4	889	-366
1395	5	979	445
1396	3	632	-333
1397	3	892	-305
1398	4	634	
1399	5		292
1400	1	807	190
1401	2	845	190
1402	2	844	475
1403	2	837	497
1404	2	-906	476
1405	1	984	-312
1406	5	903	177
1407	1	-925	-143
1408	2	799	
1409	1	662	349
1410	2	610	394
1411	2	-821	152
1412	3	517	529
1413	3	502	270
1414	3	-829	360
1415	1	877	302
1416	3	719	
1417	5	718	455
1418	5	656	447
1419	3	677	421
1420	1		124
1421	1	598	498
1422	1	640	197
1423	1	-751	
1424	1	-996	-927
1425	1	589	342
1426	3	722	
1427	2	551	183
1428	1	761	-193
1429	1	905	112
1430	2	909	416
1431	1	-821	313
1432	2	860	442
1433	3	763	359
1434	2	544	140
1435	4	848	149
1436	3	502	304
1437	3	921	340
1438	2	884	207
1439	4		-309
1440	4	900	292
1441	2	587	299
1442	1		324
1443	3	785	167
1444	2	780	343
1445	2		181
1446	5	604	370
1447	1	-740	306
1448	1	659	174
1449	2		
1450	5		-276
1451	2	864	
1452	2	928	288
1453	1	886	
1454	3		154
1455	4		187
1456	1	744	822
1457	4	864	448
1458	5	761	292
1459	3	799	180
1460	3	578	626
1461	1	679	250
1462	2	507	
1463	4	-965	315
1464	2	883	201
1465	4		327
1466	1	841	389
1467	5	614	275
1468	3	778	842
1469	5	647	-438
1470	2	697	445
1471	5	-934	
1472	3	-899	-848
1473	3	546	620
1474	1	836	458
1475	1		
1476	2	651	115
1477	4	520	168
1478	5	633	114
1479	5	592	246
1480	3	925	131
1481	3	837	470
1482	5	938	343
1483	4	819	283
1484	5		469
1485	3	608	
1486	4	935	402
1487	3	781	-427
1488	4	727	211
1489	5	714	
1490	2	572	-313
1491	4		-325
1492	2	991	
1493	1		408
1494	4	803	241
1495	4	742	813
1496	2	639	465
1497	5	982	417
1498	4	702	418
1499	2	-588	197
1500	5	942	215
1501	2	614	262
1502	4	942	227
1503	1	618	177
1504	1	731	129
1505	4	914	383
1506	2	916	178
1507	5	924	275
1508	4	-716	137
1509	1	867	
1510	1	559	278
1511	3	-563	124
1512	2	670	317
1513	2	910	
1514	5		302
1515	3	817	866
1516	2		307
1517	2		-285
1518	3	723	210
1519	1	901	193
1520	1	-951	-406
1521	1		237
1522	2	642	278
1523	1	993	177
1524	4		450
1525	4	775	421
1526	4	840	-207
1527	3	838	
1528	1		-269
1529	1	578	309
1530	4	940	957
1531	4	694	118
1532	2	-609	179
1533	1	700	183
1534	1	503	496
1535	5	983	-274
1536	1	871	363
1537	2	771	-265
1538	5	977	334
1539	2	544	417
1540	4	777	267
1541	2		143
1542	2	751	462
1543	1	932	496
1544	5	899	298
1545	3	990	193
1546	2	-924	313
1547	4		434
1548	1		-262
1549	1	659	332
1550	2	654	291
1551	2	817	831
1552	1	-962	412
1553	4	777	815
1554	1	999	207
1555	4	684	
1556	4	979	-459
1557	4	607	
1558	4	524	409
1559	3	773	800
1560	2		273
1561	2	533	142
1562	2	746	452
1563	5	683	378
1564	1	572	151
1565	3	519	181
1566	1	563	483
1567	5	-918	112
1568	1	814	-389
1569	3	1000	214
1570	2	841	359
1571	4	964	1058
1572	3	-944	190
1573	4	-927	211
1574	3	611	131
1575	5	636	
1576	3	709	769
1577	3	878	365
1578	2	643	435
1579	3	926	
1580	1	-640	176
1581	4	524	486
1582	2	863	940
1583	4	885	237
1584	3	816	887
1585	4	-943	407
1586	2		149
1587	3	707	-460
1588	2	681	-425
1589	1	812	261
1590	4	567	228
1591	4	885	
1592	5	697	222
1593	1	567	114
1594	5	811	159
1595	4	662	297
1596	2	631	-133
1597	4	776	328
1598	3	675	361
1599	2	553	137
1600	3	828	367
1601	4	882	443
1602	3	638	260
1603	1	669	212
1604	5		196
1605	4	541	446
1606	3	-862	-839
1607	1	639	441
1608	2	548	423
1609	1	635	473
1610	5	911	475
1611	4		280
1612	3	-904	127
1613	3	526	557
1614	4	-768	184
1615	3	956	129
1616	3		
1617	3	610	184
1618	4	920	474
1619	5	924	123
1620	3	546	366
1621	3	650	362
1622	2	-672	177
1623	2	866	177
1624	3	804	221
1625	4	829	924
1626	2	595	444
1627	4	682	213
1628	3	-833	353
1629	1	539	104
1630	3	523	
1631	1		118
1632	4	783	229
1633	1		419
1634	2	-972	102
1635	2	546	152
1636	4	613	474
1637	1	638	213
1638	3	784	414
1639	5	931	-406
1640	5	685	259
1641	3	542	367
1642	3	778	153
1643	3	982	178
1644	2	689	422
1645	1	719	417
1646	2	782	412
1647	4	620	354
1648	4	585	598
1649	1	527	173
1650	5	-890	451
1651	1	922	170
1652	4	-988	289
1653	4	-600	314
1654	2	990	348
1655	5	618	204
1656	2		271
1657	1	707	246
1658	4	776	455
1659	1	800	116
1660	4	598	184
1661	2		441
1662	2	866	
1663	2		271
1664	5	860	341
1665	2		
1666	1	536	475
1667	2	797	379
1668	2		398
1669	5	904	171
1670	1	991	207
1671	1	598	682
1672	4	840	397
1673	2	-705	402
1674	2	791	261
1675	4	902	
1676	3	868	347
1677	3	765	331
1678	2	938	-293
